hit_id,ch0,ch1,value
95,187,1089,0.252723
96,276,535,0.296533
97,17,1247,0.355138
98,184,1177,0.247122
99,123,1254,0.320195
100,79,669,0.321429
101,11,617,0.27728
102,91,455,0.338587
103,35,910,0.304693
104,171,1271,0.124288
104,172,1271,0.0262609
104,171,1270,0.140897
105,4,607,0.0472079
105,4,606,0.244863
106,265,526,0.347505
107,206,351,0.290429
108,297,592,0.291138
109,57,1152,0.319214
110,29,545,0.257849
111,90,386,0.308361
112,155,264,0.313499
113,8,1243,0.0783147
113,8,1242,0.209266
114,56,983,0.306692
115,152,592,0.311251
116,309,1099,0.344285
117,157,856,0.0310509
117,157,855,0.248771
118,255,636,0.255161
118,255,637,0.0114205
119,163,79,0.259837
120,274,840,0.169994
120,274,839,0.116177
121,102,811,0.0265844
121,102,810,0.307047
122,303,523,0.0442754
122,303,524,0.0895373
122,303,525,0.031259
122,302,522,0.101786
122,302,523,0.0497968
122,304,525,0.0664295
122,304,526,0.0194143
122,302,521,0.0134288
123,321,1046,0.255128
123,321,1045,0.0902766
124,278,980,0.264773
125,253,402,0.134736
125,253,403,0.149261
126,3,1106,0.306283
127,285,1086,0.314862
128,199,254,0.299848
129,206,547,0.331827
130,86,540,0.311584
131,332,1173,0.299765
132,192,327,0.116604
132,192,326,0.209216
133,305,799,0.270414
134,49,350,0.354022
135,112,1229,0.292911
136,77,530,0.26064
137,186,663,0.0559233
137,186,664,0.239986
138,276,453,0.137409
138,277,453,0.175744
139,304,1002,0.180763
139,304,1003,0.113639
140,297,439,0.323402
141,106,960,0.321582
142,218,884,0.298417
143,97,600,0.303164
144,115,1193,0.0597624
144,115,1192,0.295794
145,197,805,0.321728
146,139,879,0.103636
146,139,878,0.166762
147,184,387,0.0830831
147,184,388,0.182422
148,19,394,0.298335
149,283,80,0.0966111
149,283,79,0.220993
150,22,1038,0.228901
150,22,1039,0.101058
151,141,790,0.302663
152,186,887,0.273498
153,319,749,0.341869
154,303,464,0.303125
155,124,442,0.237592
156,279,482,0.230046
157,213,1047,0.0587793
157,214,1046,0.141041
157,214,1045,0.0910918
157,214,1047,0.046857
157,215,1045,0.0236933
158,138,717,0.29667
159,33,998,0.339154
160,102,453,0.313733
161,16,536,0.317254
162,251,1026,0.301609
163,136,1132,0.0869588
163,136,1131,0.221669
164,69,798,0.299403
165,241,936,0.322701
166,120,858,0.0226678
166,120,859,0.252994
167,265,692,0.278942
168,142,942,0.329584
169,290,478,0.0264337
169,290,477,0.295664
170,30,1170,0.192947
170,31,1170,0.115116
171,317,830,0.0925093
171,317,831,0.211235
172,315,898,0.312847
173,40,316,0.114604
173,41,316,0.143191
174,146,727,0.333005
175,132,639,0.316549
176,288,685,0.0584418
176,288,686,0.202203
177,115,1207,0.302594
178,201,22,0.251114
178,201,23,0.0374171
179,82,86,0.297941
180,202,449,0.0416028
180,202,448,0.15988
180,203,449,0.0960491
181,190,268,0.322848
182,237,94,0.335505
183,184,629,0.277453
184,35,86,0.294158
185,150,356,0.0930842
185,150,355,0.213881
186,166,778,0.0697586
186,167,776,0.0790308
186,166,777,0.0365406
186,165,779,0.0712653
186,165,778,0.00239957
186,168,775,0.0349113
186,164,781,0.0795496
186,163,782,0.073072
186,164,780,0.0429628
186,163,783,0.0402755
186,167,777,0.0357812
186,167,775,0.0055691
186,165,780,0.0441809
186,164,782,0.001714
186,162,784,0.00228584
186,162,783,0.0358059
187,231,616,0.196254
187,231,615,0.105641
188,285,916,0.0510368
188,285,915,0.261524
189,307,840,0.301419
190,283,1146,0.182768
190,283,1145,0.150166
191,297,95,0.325166
192,6,12,0.279267
193,218,621,0.0573578
193,218,620,0.191732
193,217,621,0.0436398
193,219,620,0.00307473
194,234,7,0.164915
194,234,6,0.121789
195,244,818,0.240421
196,117,1205,0.273943
197,126,473,0.336637
198,110,794,0.133503
198,110,795,0.186695
199,265,450,0.292673
200,330,37,0.0787842
200,331,37,0.130485
200,331,38,0.0794852
201,91,757,0.107775
201,91,758,0.16737
202,48,694,0.249101
203,257,612,0.30538
204,110,485,0.28356
205,93,1273,0.228278
205,93,1272,0.0264362
206,253,479,0.274789
207,60,905,0.0711792
207,60,904,0.231915
208,57,985,0.0414407
208,58,985,0.0734717
208,59,986,0.0508141
208,59,987,0.0580638
208,57,984,0.0681807
208,58,986,0.0608033
209,217,548,0.276896
210,75,838,0.137204
210,74,838,0.166558
211,320,792,0.288415
212,188,981,0.245004
213,98,488,0.299099
214,161,507,0.295792
215,72,690,0.106969
215,72,691,0.195642
216,176,886,0.33311
217,296,509,0.00231411
217,296,508,0.330562
218,233,590,0.279007
219,313,235,0.0966277
219,313,234,0.237378
220,182,320,0.165419
220,182,321,0.0989323
221,94,102,0.106638
221,94,103,0.208127
222,98,191,0.0174899
222,98,190,0.206796
222,98,189,0.0811284
223,28,847,0.337262
224,297,231,0.292212
225,111,462,0.320417
226,230,581,0.206904
226,231,581,0.0159522
226,229,581,0.00178651
226,231,582,0.00133894
226,229,580,0.0392263
227,331,631,0.193994
227,331,632,0.0985475
228,40,9,0.398779
229,225,618,0.312454
230,291,751,0.28696
231,78,794,0.0216806
231,78,793,0.26144
232,154,306,0.27997
233,318,630,0.22312
233,318,629,0.0698463
234,266,10,0.224719
234,266,9,0.0425697
235,327,244,0.294091
236,80,227,0.290093
237,22,743,0.189319
237,22,744,0.112011
238,331,13,0.0771169
238,331,14,0.192235
239,60,625,0.349679
240,72,5,0.272831
241,267,902,0.0698843
241,267,901,0.208699
242,247,232,0.108727
242,248,234,0.0636922
242,248,233,0.0726691
242,247,233,0.0961812
243,97,232,0.317525
244,302,112,0.301211
245,73,628,0.198927
245,73,627,0.109516
246,245,260,0.0543057
246,245,261,0.210568
247,110,243,0.0616638
247,110,242,0.191782
248,329,1240,0.127236
248,329,1239,0.160126
249,110,359,0.328157
250,6,808,0.311816
251,26,538,0.0951728
251,26,539,0.185967
252,325,547,0.286613
253,330,570,0.293265
254,85,793,0.314311
255,92,448,0.254837
256,175,681,0.33467
257,292,677,0.325264
258,54,607,0.25927
258,54,606,0.0556079
259,245,1128,0.286282
260,161,913,0.335302
261,74,475,0.170221
261,74,476,0.126562
262,111,510,0.321514
263,255,1067,0.269059
264,314,1110,0.0903838
264,313,1110,0.200995
265,264,1235,0.264646
266,214,719,0.352287
267,99,1135,0.315188
268,35,581,0.0390456
268,35,582,0.278155
269,144,64,0.282334
270,136,24,0.289081
271,7,1247,0.0821943
271,7,1248,0.22551
272,97,119,0.012816
272,97,120,0.28984
273,25,263,0.137055
273,25,264,0.139929
274,185,108,0.314806
275,311,299,0.286321
276,129,762,0.0982913
276,129,763,0.204226
277,183,865,0.282762
278,155,407,0.230911
278,155,408,0.0674471
279,88,296,0.307614
280,201,263,0.235658
280,201,264,0.0315095
281,188,192,0.33297
282,261,739,0.320646
283,217,372,0.262486
284,301,709,0.276309
285,262,549,0.163102
285,262,548,0.160761
286,272,502,0.306189
287,223,531,0.298867
288,287,1239,0.265637
289,56,1240,0.26165
290,42,1175,0.0867054
290,42,1176,0.231451
291,156,621,0.298621
292,82,445,0.292133
293,169,202,0.0769622
293,170,203,0.168897
293,171,203,0.0146961
293,170,202,0.00764185
293,171,204,0.108463
294,183,911,0.22923
294,183,910,0.098078
295,77,684,0.259039
296,133,559,0.00605411
296,132,560,0.194843
296,133,560,0.028212
297,266,665,0.15582
297,266,664,0.15779
298,22,1116,0.301872
299,134,583,0.170358
299,134,582,0.102734
300,251,769,0.293277
301,166,1136,0.0156536
301,166,1137,0.234219
302,132,1108,0.176538
302,132,1107,0.106614
303,322,41,0.292219
304,67,549,0.109133
304,67,548,0.106782
304,67,550,0.101116
304,67,547,0.0532977
305,182,488,0.303723
306,249,1016,0.278837
306,249,1017,0.0553969
307,202,584,0.263752
307,202,585,0.0471069
308,131,930,0.236728
309,283,497,0.159334
309,283,496,0.148789
310,54,660,0.299558
311,71,545,0.304424
312,187,814,0.299184
313,330,782,0.289159
314,193,756,0.26476
315,309,731,0.140168
315,309,732,0.150316
316,147,981,0.31256
317,236,793,0.335274
318,242,1135,0.140914
318,242,1134,0.150261
319,35,522,0.340758
320,81,709,0.292744
321,21,761,0.326616
322,230,524,0.0443057
322,230,523,0.276518
323,47,1134,0.0481766
323,47,1135,0.270323
324,89,501,0.00843125
324,89,500,0.278994
325,238,1011,0.281806
326,121,277,0.350171
327,182,884,0.180924
327,182,883,0.138773
328,229,924,0.294322
329,9,706,0.273029
330,258,406,0.174395
330,258,405,0.030686
330,257,406,0.084668
331,136,239,0.126113
331,136,240,0.135929
332,125,40,0.0663631
332,125,41,0.259421
333,22,409,0.22879
333,22,410,0.0957619
334,64,625,0.112756
334,63,626,0.0776905
334,63,625,0.110216
335,216,485,0.281043
335,216,484,0.0219975
336,129,931,0.276725
337,157,638,0.272852
338,161,1021,0.308099
338,161,1022,0.00710016
339,213,951,0.28624
340,42,522,0.259667
341,2,480,0.316404
342,85,739,0.282417
343,106,125,0.271752
344,91,1142,0.0308809
344,90,1142,0.282222
345,1,790,0.301248
346,96,792,0.286966
347,5,578,0.211744
347,5,579,0.0883896
348,148,1018,0.0968776
348,148,1017,0.223189
349,332,759,0.317369
350,177,517,0.319293
351,100,503,0.316344
352,211,462,0.315956
353,245,172,0.298555
354,154,477,0.311975
355,18,340,0.0571275
355,19,338,0.0882718
355,19,340,0.0735889
355,19,339,0.137392
356,313,618,0.0864339
356,313,617,0.237495
357,254,1141,0.084627
357,254,1142,0.0382754
357,254,1140,0.000908382
357,253,1143,0.0909304
357,253,1142,0.0755396
357,253,1144,0.0489618
358,308,1069,0.126638
358,308,1068,0.162316
359,138,66,0.341169
360,89,1037,0.209847
360,89,1036,0.0754939
361,264,246,0.291078
362,258,1136,0.257438
363,34,175,0.334798
364,264,193,0.316541
365,267,517,0.332028
366,46,251,0.342046
367,57,626,0.146519
367,57,625,0.200729
368,246,428,0.18316
368,246,429,0.0704411
369,83,1107,0.21355
369,83,1106,0.00609516
369,84,1107,0.0724297
370,246,236,0.153642
370,246,237,0.17547
371,35,453,0.236353
372,247,692,0.299323
373,25,670,0.326589
374,103,762,0.284247
375,109,906,0.250833
376,303,782,0.25398
377,91,866,0.174434
377,91,865,0.123678
378,157,1021,0.304419
379,324,940,0.246682
380,298,1134,0.104586
380,299,1132,0.0989812
380,299,1133,0.0927582
380,300,1131,0.0198446
380,298,1133,0.00548562
380,299,1131,0.0419287
381,74,506,0.112982
381,74,508,0.0537624
381,74,507,0.113784
381,74,505,0.0574308
382,170,1046,0.306706
383,114,936,0.267404
384,22,509,0.310007
384,22,508,0.000729183
385,130,581,0.22095
385,130,582,0.0621821
386,206,1218,0.266641
387,273,512,0.298247
387,273,511,0.00668946
387,274,511,0.0079985
388,73,402,0.118208
388,74,404,0.0479562
388,73,403,0.12996
388,73,404,0.0194303
388,73,401,0.0436459
389,52,187,0.306377
390,10,419,0.302925
391,330,638,0.263765
391,330,637,0.042566
391,329,637,0.0349335
392,259,279,0.196796
392,259,280,0.0953742
393,29,228,0.146786
393,29,229,0.170796
394,94,716,0.272586
395,116,1176,0.0204436
395,116,1177,0.274333
396,172,470,0.0704111
396,172,471,0.259413
397,299,648,0.325529
398,231,1000,0.27636
399,69,789,0.273001
400,184,746,0.0919039
400,183,746,0.254035
401,239,1224,0.0791475
401,239,1223,0.198788
402,200,887,0.362704
403,63,949,0.302596
404,206,849,0.313897
405,88,1098,0.315205
406,126,687,0.291232
407,300,422,0.159033
407,300,421,0.101704
408,30,692,0.29542
409,332,590,0.246875
410,316,458,0.306041
411,278,640,0.278678
412,291,684,0.274607
412,291,685,0.0469818
413,328,348,0.340716
414,38,283,0.120888
414,38,284,0.191891
415,59,858,0.186868
415,59,859,0.125681
416,220,816,0.329424
417,72,647,0.337119
418,27,517,0.169323
418,27,516,0.117057
419,39,1002,0.039081
419,38,1002,0.0624941
419,39,1001,0.102048
419,40,1000,0.0713757
419,37,1003,0.00443432
419,39,1000,0.00586064
419,38,1003,0.0846432
420,99,345,0.0734758
420,99,346,0.215294
421,91,1025,0.212798
421,91,1024,0.0511804
422,111,1033,0.0244768
422,111,1032,0.28029
423,298,667,0.0900143
423,299,667,0.19395
424,115,346,0.173241
424,115,345,0.114922
425,28,677,0.316231
426,318,336,0.319766
427,290,543,0.0248956
427,290,544,0.200611
428,288,1220,0.345321
429,286,925,0.319729
430,293,848,0.302148
431,163,704,0.286317
432,333,525,0.327205
433,153,786,0.306597
434,140,464,0.266619
435,225,1040,0.226946
436,70,637,0.257795
437,198,871,0.0408894
437,197,871,0.103587
437,197,872,0.158965
438,214,882,0.292903
439,325,1028,0.0571931
439,326,1028,0.227773
440,165,598,0.259144
441,184,751,0.323934
442,162,984,0.282401
443,211,900,0.305522
444,166,570,0.315337
445,334,606,0.249571
446,111,766,0.275029
447,89,648,0.265752
448,132,595,0.319955
449,29,906,0.109506
449,29,905,0.117488
449,28,907,0.0179367
449,29,907,0.109271
449,28,908,0.0299078
450,316,80,0.283541
451,186,628,0.342208
452,136,123,0.238143
452,136,124,0.0815705
453,89,345,0.280893
454,225,38,0.24214
455,122,824,0.335816
456,289,623,0.328246
457,185,756,0.255452
458,40,550,0.259502
459,80,915,0.314246
460,119,977,0.312791
461,29,29,0.278787
461,29,28,0.0211418
462,116,78,0.0948697
462,116,79,0.154369
463,32,616,0.292604
464,63,1166,0.320687
465,218,468,0.072662
465,218,467,0.222155
466,216,662,0.352736
467,266,641,0.16007
467,266,642,0.114245
467,265,641,0.00129116
467,267,642,0.00918425
468,268,703,0.282897
469,116,851,0.261678
469,116,850,0.0574124
470,255,934,0.128461
470,255,933,0.133263
471,280,550,0.206047
471,280,551,0.114862
472,49,1035,0.352563
473,171,873,0.180133
473,171,872,0.0995634
474,131,618,0.317569
475,49,853,0.229456
475,49,852,0.0328181
476,230,519,0.303024
477,292,843,0.105997
477,292,844,0.223911
478,288,592,0.260831
479,210,874,0.276315
480,313,467,0.199187
480,313,466,0.0732029
481,335,628,0.0533597
481,335,627,0.28931
482,267,1096,0.286986
483,28,927,0.293236
484,213,720,0.277779
485,122,861,0.198965
485,122,862,0.140727
486,248,618,0.00492001
486,248,617,0.293704
487,145,538,0.318883
488,143,1085,0.287449
489,101,674,0.213929
489,102,673,0.0114309
489,101,675,0.017181
489,101,673,0.105084
490,259,1038,0.320734
491,300,611,0.27001
492,162,407,0.277664
493,78,116,0.130728
493,78,115,0.124666
493,78,117,0.0746202
494,171,272,0.321667
495,29,409,0.106459
495,29,408,0.187365
496,243,917,0.282497
496,243,918,0.0336496
497,169,1192,0.263011
498,247,1108,0.299529
499,198,184,0.230818
499,198,183,0.0507511
500,100,1036,0.0277818
500,99,1036,0.0702741
500,100,1035,0.214425
501,176,93,0.27653
502,232,1113,0.0784749
502,232,1114,0.236757
503,211,1036,0.0136816
503,211,1037,0.287738
504,98,461,0.0378544
504,98,462,0.236269
505,323,91,0.270188
506,263,576,0.141864
506,263,577,0.132781
507,45,605,0.3014
507,45,604,0.0175274
508,174,202,0.0956104
508,174,203,0.208811
509,52,894,0.291623
510,267,511,0.26958
511,88,550,0.15405
511,88,549,0.126186
512,292,1276,0.376286
513,5,650,0.276264
514,43,1275,0.25874
515,128,633,0.283505
516,81,1113,0.111291
516,81,1112,0.184553
517,89,592,0.287313
517,89,591,0.0362505
518,44,511,0.260677
518,44,512,0.0343925
519,50,698,0.305736
520,45,611,0.339279
521,136,472,0.0849777
521,136,471,0.209872
522,277,710,0.343413
523,239,829,0.298821
524,94,1008,0.324838
525,109,842,0.293145
526,266,733,0.313922
527,182,468,0.287177
528,48,840,0.292515
529,218,1168,0.0606566
529,218,1167,0.222547
530,11,579,0.366912
531,319,191,0.0493319
531,320,191,0.044311
531,321,194,0.0136372
531,320,192,0.138979
531,321,193,0.0844944
531,320,193,0.0256281
532,121,100,0.225164
532,121,101,0.0942912
533,156,869,0.0497032
533,156,870,0.104935
533,155,872,0.0939852
533,156,871,0.0276195
533,155,871,0.0686358
534,5,461,0.212439
534,5,460,0.0926161
534,4,461,0.0137105
535,266,578,0.327322
536,116,933,0.285789
537,99,1134,0.249077
537,99,1133,0.0402873
538,82,516,0.277635
539,180,598,0.29416
540,41,735,0.266369
541,323,635,0.326296
542,56,714,0.314994
543,233,936,0.307164
544,214,23,0.297504
545,161,365,0.106261
545,162,365,0.13185
545,162,364,0.039263
546,326,1127,0.181918
546,326,1128,0.141538
547,220,347,0.284561
548,47,1214,0.148595
548,47,1213,0.118492
549,19,24,0.0528946
549,18,24,0.261162
550,141,829,0.261005
550,141,830,0.0190058
551,53,76,0.0541722
551,52,75,0.235999
551,52,76,0.00558354
552,323,1082,0.308985
553,17,1136,0.306729
554,289,519,0.157926
554,289,518,0.131947
555,224,490,0.288119
556,264,580,0.336313
557,187,1007,0.257398
558,69,575,0.0644241
558,69,574,0.23778
559,231,1036,0.266961
560,246,893,0.303954
561,281,791,0.0385531
561,281,790,0.320247
562,116,639,0.30951
563,105,1142,0.0297401
563,104,1142,0.0786194
563,105,1141,0.0958085
563,104,1143,0.0900656
563,105,1140,0.0381391
564,146,862,0.330406
565,19,1074,0.111938
565,19,1075,0.172162
566,295,184,0.278127
567,201,805,0.293651
568,327,1279,0.268178
569,250,79,0.276775
570,202,241,0.196516
570,202,240,0.109655
571,146,774,0.274337
571,146,773,0.0281795
572,48,83,0.171541
572,48,82,0.153496
573,184,982,0.0254522
573,183,983,0.0914614
573,184,981,0.0719412
573,182,983,0.0403255
573,183,982,0.130486
574,197,951,0.209726
574,196,952,0.0819818
574,197,952,0.0380684
575,67,583,0.341877
576,90,1267,0.261205
577,309,620,0.323628
578,283,998,0.207956
578,283,997,0.04425
579,329,915,0.306312
580,281,578,0.27253
580,281,577,0.0360723
581,46,794,0.279393
581,46,793,0.0180617
582,91,949,0.304385
583,181,696,0.308953
584,51,1239,0.0701285
584,51,1238,0.203266
585,120,1055,0.314804
586,288,1078,0.297775
587,208,659,0.15648
587,208,660,0.142595
588,102,525,0.320094
589,103,1055,0.240213
589,103,1054,0.0506713
590,328,1213,0.315123
591,243,609,0.36948
592,297,899,0.340654
593,221,571,0.146569
593,221,570,0.13455
594,178,911,0.0411588
594,178,912,0.286276
595,305,792,0.00418679
595,305,793,0.381802
596,46,1220,0.378722
597,3,1070,0.373906
598,192,456,0.213824
598,192,455,0.102922
599,72,915,0.323439
600,220,979,0.317603
601,105,622,0.349205
602,84,576,0.266222
603,12,990,0.303093
604,305,983,0.302231
605,160,767,0.323361
606,172,602,0.283716
607,192,311,0.308215
608,327,434,0.158833
608,327,433,0.143285
609,308,1013,0.355292
610,133,327,0.28157
610,133,326,0.039372
611,216,207,0.3389
612,11,905,0.295671
612,11,906,0.00306204
613,252,357,0.325298
614,221,1133,0.332208
615,38,743,0.0332342
615,36,742,0.000998418
615,37,743,0.0155539
615,36,740,0.0186076
615,36,741,0.105034
615,37,742,0.122445
615,35,740,0.0760172
616,104,757,0.283017
616,104,756,0.0259248
617,244,1036,0.290218
618,169,293,0.0973208
618,169,292,0.209961
619,247,285,0.119727
619,247,286,0.170888
620,29,800,0.231342
620,29,799,0.0691654
621,22,349,0.198671
621,22,348,0.104368
622,205,1211,0.273088
623,285,322,0.107435
623,285,323,0.215979
624,250,841,0.0913419
624,251,841,0.220505
625,3,197,0.275617
626,131,771,0.261104
626,131,770,0.0877394
627,88,430,0.0251614
627,89,431,0.246397
627,88,431,0.0406632
628,24,277,0.343876
629,10,1005,0.326573
629,10,1004,0.00628895
630,144,882,0.00155733
630,144,883,0.271338
631,262,137,0.18613
631,261,137,0.0950787
632,312,450,0.282082
632,312,449,0.0170116
633,294,1233,0.0638769
633,294,1232,0.20902
633,294,1231,0.0454516
634,45,201,0.0352637
634,45,199,0.0249847
634,45,200,0.254429
635,251,526,0.296536
636,36,989,0.2964
637,18,450,0.297423
638,142,1190,0.115294
638,142,1189,0.0922537
638,143,1192,0.0412479
638,142,1191,0.00122785
638,143,1191,0.0955943
639,56,142,0.261605
640,59,329,0.282228
641,38,1236,0.0212442
641,35,1241,0.0309201
641,36,1239,0.0816768
641,37,1238,0.030406
641,37,1236,0.020232
641,36,1240,0.00241861
641,35,1240,0.074627
641,37,1237,0.0827017
641,36,1238,0.0586832
642,296,55,0.0430103
642,297,55,0.252574
643,159,220,0.0795823
643,160,219,0.0813394
643,159,221,0.0106551
643,160,216,0.0451244
643,160,218,0.0921765
643,159,219,0.01184
643,160,217,0.0867714
644,245,110,0.355159
645,186,1033,0.261125
645,186,1032,0.00612552
646,58,927,0.0623389
646,58,928,0.222339
647,232,235,0.250229
648,155,492,0.324371
649,177,812,0.0177554
649,178,813,0.0127555
649,174,810,0.0320117
649,177,813,0.0935094
649,176,812,0.0894307
649,175,810,0.0277759
649,178,814,0.0181776
649,176,811,0.0212779
649,175,811,0.0760757
650,319,1246,0.150699
650,320,1245,0.0397337
650,319,1245,0.106853
651,99,52,0.283962
652,199,951,0.0223744
652,199,952,0.292825
653,229,150,0.344676
654,334,339,0.0825601
654,334,340,0.0697205
654,335,341,0.0561559
654,333,339,0.0339854
654,333,338,0.0758515
654,335,340,0.0484908
655,180,717,0.0528371
655,181,716,0.00520004
655,181,715,0.108329
655,180,716,0.0905385
655,181,714,0.081857
656,309,0,0.291392
657,203,868,0.213328
657,203,867,0.0897757
658,260,734,0.108864
658,260,733,0.201472
659,171,1032,0.32288
660,170,623,0.313353
661,282,604,0.293594
662,63,522,0.119837
662,63,521,0.157912
663,137,455,0.244222
663,137,454,0.0903463
664,174,849,0.300644
665,302,816,0.130843
665,302,817,0.143232
666,15,237,0.31499
667,40,113,0.286311
668,195,121,0.209364
668,195,122,0.0922698
669,313,1034,0.164625
669,313,1035,0.168685
670,22,152,0.305751
671,116,8,0.0572661
671,115,9,0.0115366
671,115,8,0.248674
672,300,80,0.00825561
672,301,81,0.109401
672,301,80,0.211657
673,195,1011,0.33367
674,62,822,0.256174
675,35,734,0.314415
676,39,957,0.112139
676,39,958,0.109009
676,39,959,0.0623455
676,39,956,0.0535438
677,307,941,0.343807
678,285,480,0.133166
678,285,481,0.145169
679,321,465,0.0203576
679,321,464,0.284213
680,251,873,0.182611
680,251,874,0.152918
681,179,1056,0.122219
681,179,1055,0.122978
682,256,732,0.297374
683,315,549,0.329151
684,80,609,0.29365
685,309,661,0.319454
686,331,264,0.301411
686,331,265,0.0165234
687,14,1027,0.111787
687,14,1026,0.23368
688,56,918,0.343519
689,130,758,0.324603
690,305,295,0.295461
691,122,503,0.19669
691,122,502,0.0919497
692,132,778,0.286797
693,89,1193,0.264876
694,238,1185,0.194752
694,238,1186,0.111119
695,265,41,0.116218
695,265,42,0.200159
696,44,376,0.0766186
696,45,378,0.119838
696,45,377,0.114098
696,45,376,0.0178687
696,45,379,0.0191609
697,273,607,0.0334039
697,273,606,0.204513
698,171,1190,0.28658
699,309,411,0.164224
699,309,412,0.137574
700,142,575,0.213045
700,142,576,0.0883649
701,111,274,0.330653
702,73,420,0.0483763
702,73,419,0.261963
703,120,9,0.31272
704,123,1101,0.310094
705,204,330,0.296159
706,17,611,0.300669
707,43,759,0.10457
707,42,759,0.00099972
707,42,761,0.111151
707,42,760,0.11107
708,83,303,0.31351
709,282,636,0.33717
710,174,850,0.246399
711,68,47,0.151166
711,68,46,0.139899
712,130,368,0.19965
712,130,369,0.0765223
713,327,512,0.175773
713,326,511,0.0951268
713,327,511,0.0344265
714,244,1051,0.119153
714,244,1050,0.169249
715,144,470,0.168868
715,144,471,0.12992
716,98,663,0.288991
717,3,863,0.0254561
717,3,864,0.23544
718,272,459,0.295744
719,180,266,0.0382941
719,180,267,0.238498
720,329,524,0.245522
721,330,465,0.274864
722,46,938,0.249599
722,47,938,0.0695597
723,32,725,0.29957
724,162,1000,0.370457
725,105,481,0.292101
726,146,880,0.302029
727,110,1000,0.0167645
727,110,1001,0.286196
728,237,750,0.021784
728,237,749,0.292512
729,123,553,0.324805
730,25,628,0.325773
731,108,676,0.319818
731,108,677,0.0148589
732,257,538,0.024567
732,257,539,0.297482
733,198,429,0.300354
734,179,1089,0.108048
734,179,1090,0.209806
735,149,111,0.285206
736,309,587,0.0703894
736,309,588,0.221972
737,153,317,0.289584
738,166,1106,0.00858628
738,166,1108,0.0508427
738,167,1108,0.0811899
738,166,1107,0.180524
739,7,1231,0.262582
740,253,137,0.0362129
740,253,136,0.26037
741,7,542,0.337771
742,313,1018,0.21614
743,267,924,0.308895
744,227,703,0.270368
745,264,479,0.110629
